,Name,Album,Artist
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina
1,Creep,Creep,ORYL
2,Warm,Warm,Moncrieff
3,Overpass Graffiti - Acoustic,Overpass Graffiti (Acoustic),Lukas Larsson
4,L.A.,ARC 003,Verskotzi
5,WISH U WERE DEAD,WISH U WERE DEAD,Grant Knoche
6,Gallows,Gallows,Mookigang
7,WISH U HELL,WISH U HELL,Chelsea Collins
8,Broken Strings (Refreshed),Greatest Hits,James Morrison
9,Driveway,Driveway,Bryson Jarrett
10,Into Your Arms,Into Your Arms,Gebrasy
11,Where Is My Mind?,Where Is My Mind?,ORYL
12,High - Slowed + Reverb,High,ORYL
13,Room for Another,Room for Another,Mokita
14,Butterflies,Butterflies,Kid Travis
15,Like You're In Mine,Like You're In Mine,Hayes Warner
16,Loosing Interest,Passion & Confusion,Timmies
17,WORDS,WORDS,Heberlein
18,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
19,It's You,YOU,Ali Gatie
20,Heather,Kid Krow,Conan Gray
21,Six Feet Under,Six Feet Under,Billie Eilish
22,Better Now,Better Now,ORYL
23,Butterflies,Butterflies,Kid Travis
24,Jocelyn Flores,17,XXXTENTACION
25,Circles,Hollywood's Bleeding,Post Malone
26,All Alone,All Alone,Sølace
27,Everybody Dies In Their Nightmares,17,XXXTENTACION
28,Keep You Close,Keep You Close,ORYL
29,Heartbreak Anniversary,TAKE TIME,Giveon
30,idfc,deadroses,blackbear
31,Till Forever Falls Apart,Till Forever Falls Apart,Ashe
32,Someone Like You,21,Adele
33,Train Wreck,Back from the Edge,James Arthur
34,bad ones,TOO YOUNG TO BE SAD,Tate McRae
35,XTC,XTC,Ella Doherty
36,Arcade,Small Town Boy (Track By Track),Duncan Laurence
37,Tell Me Goodbye,Tell Me Goodbye,ORYL
38,Disappear,Disappear,Kid Travis
39,r u ok,TOO YOUNG TO BE SAD,Tate McRae
40,Happier,÷ (Deluxe),Ed Sheeran
41,7 Years,Lukas Graham,Lukas Graham
42,slower,slower,Tate McRae
43,drivers license,drivers license,Olivia Rodrigo
44,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber
45,Half A Man,A Place We Knew,Dean Lewis
46,1-800-273-8255,Everybody,Logic
47,Let It Go,Chaos And The Calm,James Bay
48,lovely (with Khalid),lovely (with Khalid),Billie Eilish
49,changes,?,XXXTENTACION
50,"i hate u, i love u (feat. olivia o'brien)",us,Garrett Nash
51,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
52,Kiss You,Kiss You,Steph Devine
53,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
54,Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith
55,Love and Secrets,Love and Secrets,The New Starts Now
56,You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding
57,High,High,ORYL
58,Be Alright,A Place We Knew,Dean Lewis
59,Can We Kiss Forever?,Can We Kiss Forever?,Kina
60,Say Something,Is There Anybody Out There?,A Great Big World
61,If The World Was Ending,If The World Was Ending,JP Saxe
62,my future,my future,Billie Eilish
63,Nude,In Rainbows,Radiohead
64,At My Worst,The Prelude,Pink Sweat$
65,Fix You,X&Y,Coldplay
66,XO,i think you think too much of me,EDEN
67,Coaster,American Teen,Khalid
68,Not About Angels,Not About Angels,Birdy
69,Let Her Go,All The Little Lights,Passenger
70,Save Your Tears,After Hours,The Weeknd
71,Breathe Me,Colour The Small One,Sia
72,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
73,Let You Down,Perception,NF
74,Say You Won't Let Go,Back from the Edge,James Arthur
75,I Need You,I Need You,ORYL
76,Moonlight,YOU,Ali Gatie
77,You're Beautiful,Back to Bedlam,James Blunt
78,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake
79,Yellow,Parachutes,Coldplay
80,Feel,Escapology,Robbie Williams
81,you broke me first,you broke me first,Tate McRae
82,No Surprises,OK Computer,Radiohead
83,All of Me,Love In The Future (Expanded Edition),John Legend
84,you were good to me (bonus track),love is not dying,Jeremy Zucker
85,Lie,Perception,NF
86,this is how you fall in love,brent ii,Jeremy Zucker
87,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi
88,better off,glisten,Jeremy Zucker
89,If You Want Love,Perception,NF
90,I Fall Apart,Stoney (Deluxe),Post Malone
91,Skinny Love,Birdy,Birdy
92,What I Need,What I Need,ORYL
93,Cold Nights (Acoustic),Cold Nights (Acoustic),Waves Rush In
94,Can I Be Him,Back from the Edge,James Arthur
95,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
96,I'm Not Enough and I'm Sorry,I'm Not Enough and I'm Sorry,Teqkoi
97,Let Me Down Slowly,Narrated For You,Alec Benjamin
98,Waves,A Place We Knew,Dean Lewis
99,You Are The Reason,Only Human (Deluxe),Calum Scott
