,Name,Album,Artist
0,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals
1,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI
2,Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,Imagine Dragons
3,abcdefu,abcdefu,GAYLE
4,Cold Heart - PNAU Remix,The Lockdown Sessions,Elton John
5,MAMIII,MAMIII,Becky G
6,INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X
7,Desesperados,VICE VERSA,Rauw Alejandro
8,Easy On Me,30,Adele
9,Shivers,=,Ed Sheeran
10,Boyfriend,Boyfriend,Dove Cameron
11,Ghost,Justice,Justin Bieber
12,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),Camila Cabello
13,Infinity,Feel Something,Jaymes Young
14,Woman,Planet Her,Doja Cat
15,THATS WHAT I WANT,MONTERO,Lil Nas X
16,Pepas,La 167,Farruko
17,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duhé
18,Bad Habits,=,Ed Sheeran
19,I Love You So,I Love You So,The Walters
20,Where Are You Now,Where Are You Now,Lost Frequencies
21,"Residente: Bzrp Music Sessions, Vol. 49","Residente: Bzrp Music Sessions, Vol. 49",Bizarrap
22,We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),Lin-Manuel Miranda
23,My Universe,Music Of The Spheres,Coldplay
24,good 4 u,SOUR,Olivia Rodrigo
25,"I'm Tired - From ""Euphoria"" An HBO Original Series","I'm Tired (From ""Euphoria"" An HBO Original Series)",Labrinth
26,The Motto,The Motto,Tiësto
27,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy
28,Do It To It,Do It To It,ACRAZE
29,Something In The Way - Remastered,Nevermind (30th Anniversary Super Deluxe),Nirvana
30,Blinding Lights,After Hours,The Weeknd
31,Sweater Weather,I Love You.,The Neighbourhood
32,Yonaguni,Yonaguni,Bad Bunny
33,Dandelions,Safe Haven,Ruth B.
34,Mount Everest,Imagination & the Misfit Kid,Labrinth
35,Light Switch,Light Switch (Instrumental),Charlie Puth
36,Need to Know,Planet Her,Doja Cat
37,Softcore,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood
38,Una Noche en Medellín,Una Noche en Medellín,Cris Mj
39,traitor,SOUR,Olivia Rodrigo
40,Kiss Me More (feat. SZA),Planet Her,Doja Cat
41,pushin P (feat. Young Thug),DS4EVER,Gunna
42,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa
43,All For Us,Imagination & the Misfit Kid,Labrinth
44,Another Love,Long Way Down,Tom Odell
45,Mon Amour - Remix,Mon Amour (Remix),zzoilo
46,Without Me,The Eminem Show,Eminem
47,MONTERO (Call Me By Your Name),MONTERO,Lil Nas X
48,she's all i wanna be,she's all i wanna be,Tate McRae
49,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd
